id,sentence,class
469,"Box 6009, Newark, DE 19714 (hereinafter ""Autotote""), duly represented by its Vice President, Richard WEIL, and Sisal Sport Italia SpA, a corporation with its main offices at 6 Via Paleocapa, 20121 Milano, Italy (hereinafter ""Sisal""), duly represented by its Managing Director, Mr. Giorgio SANDI, whereas: * Autotote is engaged in the design, development, manufacture and sale of terminal and computer systems; * Sisal is active in Italy in the field of betting and is looking for a new, updated and effective computer hardware and software system; * Autotote has agreed to assist Sisal in the development of a new computer hardware and software system, in the manufacture of the entire Terminal requirements of Sisal and in directly suppling to Sisal prototypes and a pre production amount of such equipment; * Autotote and Sisal have agreed that a larger, production amount of such equipment shall be supplied to Sisal by the exclusive distributor in Italy of Autotote's products, Elettronica Ingegneria Sistemi SpA (hereinafter ""EIS""); Now therefore, in consideration of the mutual covenants and agreements set forth herein, Autotote and Sisal agree as follows: 2 DEFINITIONS As used in this Agreement, the following capitalized terms shall have the meanings set forth below: 2.1 ""Affiliate"" of any party shall mean any corporation or other business entity controlling, controlled or under common control with such party; 2.2 ""Agreement"" shall mean this Agreement and all Exhibits hereto; 2.3 ""Business"" shall mean the business, operations and activities of Sisal relating to the field of betting; 2.4 ""Information"" shall mean all information regarding the knowhow of Autotote in computer hardware and software systems and the requirements, needs, activities, organization, and programs of Sisal related to the Business; 2.5 ""System"" shall mean equipment and related software and/or firmware; 2.6 ""Intellectual Property Rights"" shall mean all the rights for the complete and absolute ownership of the project, ideas and patents related to the Terminal (including prototypes); 2.7 ""Terminal"" shall mean the computer hardware, to be utilized for the exploitation of the Business, having the main features, characteristics and functions listed in Exhibit 1 of the Agreement; the Terminal shall consist of hardware and firmware (as understood in the trade) as described in Exhibit 1; 2.8 ""Territory"" shall mean the Republic of Italy, San Marino and Vatican State; 2.9 ""Trademarks"" shall mean the trademarks developed by Sisal and registered in Italy by Sisal to distinguish the Terminals used in the Territory.",0
470,In the [******].,0
471,"1.10 ""Parties"" mean 3M, 3M IPC and SEPRACOR and their permitted assigns, and ""a Party"" means 3M, 3M IPC or SEPRACOR and their permitted assigns.",0
472,"CONDUCT OF THE SCALEUP PROGRAM 3.1 During the Scaleup Program, each Party shall be licensed freeofcharge under those rights of the other Party as are required for the sole purpose of conducting the Scaleup Program of Licensed Product.",1
473,"In support of DAS, and at DAS's request, Eon shall perform all applicable tests, release testing, and stability studies for the Product for [******] specifications developed by DAS in accordance with the Eon ANDA, as more specifically set forth in Exhibit III.",1
474,"""SCRAP"" means any die or device, in any stage of the Work and regardless of its functionality, that is not in conformity with the requirements of this Agreement for the Contract Products.",0
475,10.6 Maintenance of Patents.,0
476,"On delivery by Medica of a shipment of Cartridges in accordance with Section 3.3, Medica shall issue to Nephros an invoice for that shipment stating a price consistent with the terms of this agreement.",1
477,"With respect to Footwear's requirements for footwear products that are not Qualified Products (""NonQualified Products""), Footwear shall in good faith provide (i) to the extent practicable or permitted (based on trade secret and patent limitations) the requirements and specifications for such NonQualified Products and (ii) Manufacturer a commercially reasonable opportunity to manufacture a portion of such requirements.",1
478,ORDER PLACEMENT AND DELIVERY (A) Blanket purchase orders for Contract Products shall periodically be placed by Motorola with ASE.,1
479,f) Medica will serve as the Authorized Representative for Complaint and Vigilance handling and reporting for Nephros a.,1
480,"Also, BEBIG decommissioned the earlier (contaminated) Strontium90 prototype line and had to absorb substantial cost.",0
481,"Customer shall not modify, disassemble, or decompile the Software.",1
482,"If the Indemnifying Party has timely disputed its liability with respect to the Claim, the Indemnifying Party and the Indemnified Party shall proceed in good faith to negotiate a resolution of the Claim and, if the Claim is not resolved through negotiations within 60 Business Days following receipt by the Indemnifying Party of notice of that Claim from the Indemnified Party, the Indemnified Party may take the dispute to arbitration pursuant to Section 14.5.",1
483,"Autotote grants to Sisal hereby a perpetual, irrevocable, non exclusive, apart from what is provided in art.",1
484,"(c) In the event of MOPAC's failure to supply timely all requirements ordered by Biopure, for any reason, Biopure shall have the right to purchase Material from other sources.",1
485,"MANUFACTURING AND PURCHASE AGREEMENT This MANUFACTURING AND PURCHASE AGREEMENT (""Agreement"") is entered into as of the date last executed below (""Effective Date"") by and between Brocade Communications Systems, Inc., a Delaware corporation with a place of business at 1745 Technology Drive, San Jose, California 95110 (""Brocade""), and Hon Hai Precision Industry Co., Ltd., a Taiwan corporation with an office at No.",0
486,Article 7 OTHER OBLIGATIONS OF MEDICA 7.1 Debarment Certification.,0
487,"(b) Nephros shall indemnify each Medica Entity, each Affiliate of each Medica Entity, each Representative of each Medica Entity, and the heirs, executors, successors, and assigns of any of the foregoing, against the following Indemnifiable Losses: (1) Indemnifiable Losses arising out of breach by Nephros of any of its obligations under this agreement; (2) Indemnifiable Losses arising out of any inaccuracy in any representations of Nephros contained in this agreement; 14 (3) Indemnifiable Losses arising out of any claim that any Intellectual Property of Nephros required to manufacture the Cartridge conflicts with the Intellectual Property Rights of any other Person; and (4) Indemnifiable Losses arising out of any Cartridges that have been manufactured by Medica under this agreement, unless those Indemnifiable Losses are due to breach by Medica of any of its obligations under this agreement or the negligence or willful misconduct of Medica or its agents or Representatives.",1
488,d. Ownership of Software.,0
489,"1.1 ""Ancillary Technology"" means all test programs and fixtures provided to Hon Hai by Brocade.",0
490,ARTICLE III QUALITY DISPUTES 3.1 PRODUCT QUALITY DISPUTES.,0
491,5.7 Inventory of Raw Materials and Spare Parts.,0
492,"1 and 2 thereto, such contract being hereinafter referred to as the ""Contract.""",0
